English,Chinese,Pinyin,Word Type,CEFR Level
all,全部,quánbù,determiner,A1
another,其他,qítā,determiner,A1
any,任何,rènhé,determiner,A1
both,两个都,liǎnggè dū,determiner,A1
double,双倍的,shuāngbèi de,determiner,A2
dozen,打,dǎ,determiner,B2
each,每个,měige,determiner,A1
either,任何一个,rènhé yīgè,determiner,A2
enough,足够的,zúgòu de,determiner,A1
every,每一个,měi yīgè,determiner,A1
few,很少,hěnshǎo,determiner,A1
first,第一的,dìyī de,determiner,A1
half,一半,yībàn,determiner,A1
her,她,tā,determiner,A1
his,他的,tā de,determiner,A1
its,它是,tā shì,determiner,A1
last,最后的,zuìhòu de,determiner,A1
least,至少,zhìshǎo,determiner,A2
less,较少的,jiàoshǎo de,determiner,A2
little,小的,xiǎo de,determiner,A1
lot,很多,hěnduō,determiner,A1
many,许多,xǔduō,determiner,A1
more,更多的,gēng duō de,determiner,A1
most,最多,zuì duō,determiner,A1
much,很多,hěnduō,determiner,A1
my,我的,wǒ de,determiner,A1
neither,两者都不,liǎngzhě dū bù,determiner,A2
no,不,bù,determiner,A1
one,一,yī,determiner,A1
our,我们的,wǒmen de,determiner,A1
second,第二,dìèr,determiner,A1
several,一些,yīxiē,determiner,A2
some,一些,yīxiē,determiner,A1
such,这样的,zhèyàng de,determiner,A2
that,那,nà,determiner,A1
their,他们的,tāmen de,determiner,A1
this,这,zhè,determiner,A1
what,什么,shénme,determiner,A1
whatever,任何,rènhé,determiner,B1
which,哪个,nǎge,determiner,A1
whose,谁的,shéi de,determiner,A2
your,你的,nǐ de,determiner,A1
