English,Chinese,Pinyin,Word Type,CEFR Level
next to,旁边,pángbiān,preposition,A1
according to,根据,gēnjù,preposition,A2
about,关于,guānyú,preposition,A1
above,多于,duōyú,preposition,A1
across,穿过,chuānguò,preposition,A1
after,后,hòu,preposition,A1
against,反对,fǎnduì,preposition,A2
along,沿着,yánzhe,preposition,A2
among,之中,zhīzhōng,preposition,A2
around,大约,dàyuē,preposition,A1
as,作为,zuòwéi,preposition,A1
at,在,zài,preposition,A1
before,前,qián,preposition,A1
behind,在后面,zài hòumiàn,preposition,A1
below,以下,yǐxià,preposition,A1
between,之间,zhījiān,preposition,A1
beyond,超过,chāoguò,preposition,B2
but,但,dàn,preposition,B2
by,经过,jīngguò,preposition,A1
despite,尽管,jǐnguǎn,preposition,B1
down,向下,xiàngxià,preposition,A1
during,期间,qījiān,preposition,A1
except,除了,chúle,preposition,A2
following,下列的,xiàliè de,preposition,B2
for,为了,wèile,preposition,A1
from,从,cóng,preposition,A1
in,在,zài,preposition,A1
including,包括,bāokuò,preposition,A2
inside,里面,lǐmiàn,preposition,A2
into,进入,jìnrù,preposition,A1
like,喜欢,xǐhuan,preposition,A1
near,靠近,kàojìn,preposition,A1
of,的,de,preposition,A1
off,离开,líkāi,preposition,A1
on,在,zài,preposition,A1
onto,到,dào,preposition,A2
opposite,对面的,duìmiàn de,preposition,A1
out,出去,chūqù,preposition,A1
outside,外部,wàibù,preposition,A2
over,超过,chāoguò,preposition,A1
past,过去的,guòqu de,preposition,A1
per,每,měi,preposition,A2
plus,加,jiā,preposition,B1
round,圆形的,yuánxíng de,preposition,A2
since,自从,zìcóng,preposition,A2
than,比,bǐ,preposition,A1
through,通过,tōngguò,preposition,A1
throughout,自始至终,zìshǐzhìzhōng,preposition,B1
till,直到,zhídào,preposition,B1
to,到,dào,preposition,A1
towards,向,xiàng,preposition,A2
under,在下面,zài xiàmiàn,preposition,A1
unlike,不像,bùxiàng,preposition,B1
until,直到,zhídào,preposition,A1
up,向上,xiàngshàng,preposition,A1
upon,之上,zhīshàng,preposition,B1
via,通过,tōngguò,preposition,B2
with,和,hé,preposition,A1
within,之内,zhīnèi,preposition,B1
without,没有,méiyǒu,preposition,A1
