English,Chinese,Pinyin,Word Type,CEFR Level
no one,没有人,méiyǒu rén,pronoun,A1
all,全部,quánbù,pronoun,A1
another,其他,qítā,pronoun,A1
any,任何,rènhé,pronoun,A1
anybody,任何人,rènhérén,pronoun,A2
anyone,任何人,rènhérén,pronoun,A1
anything,任何事物,rènhéshìwù,pronoun,A1
anywhere,任何地方,rènhé dìfāng,pronoun,A2
both,两个都,liǎnggè dū,pronoun,A1
double,双倍的,shuāngbèi de,pronoun,A2
each,每个,měige,pronoun,A1
either,任何一个,rènhé yīgè,pronoun,A2
enough,足够的,zúgòu de,pronoun,A1
everybody,大家,dàjiā,pronoun,A1
everyone,每个人,měige rén,pronoun,A1
everything,一切,yīqiè,pronoun,A1
few,很少,hěnshǎo,pronoun,A1
half,一半,yībàn,pronoun,A1
he,他,tā,pronoun,A1
her,她,tā,pronoun,A1
hers,她的,tā de,pronoun,A2
herself,她自己,tā zìjǐ,pronoun,A2
him,他,tā,pronoun,A1
himself,他自己,tā zìjǐ,pronoun,A2
his,他的,tā de,pronoun,A2
I,我,wǒ,pronoun,A1
it,它,tā,pronoun,A1
itself,本身,běnshēn,pronoun,A2
least,至少,zhìshǎo,pronoun,A2
less,较少的,jiàoshǎo de,pronoun,A2
little,小的,xiǎo de,pronoun,A1
lot,很多,hěnduō,pronoun,A1
many,许多,xǔduō,pronoun,A1
me,我,wǒ,pronoun,A1
mine,矿,kuàng,pronoun,A2
more,更多的,gēng duō de,pronoun,A1
most,最多,zuì duō,pronoun,A1
much,很多,hěnduō,pronoun,A1
myself,我,wǒ,pronoun,A2
neither,两者都不,liǎngzhě dū bù,pronoun,A2
nobody,没有人,méiyǒu rén,pronoun,A1
none,没有任何,méiyǒu rènhé,pronoun,A2
nothing,没有什么,méiyǒu shénme,pronoun,A1
one,一,yī,pronoun,A1
other,其他,qítā,pronoun,A1
ours,我们的,wǒmen de,pronoun,B1
ourselves,我们自己,wǒmen zìjǐ,pronoun,A2
own,自己的,zìjǐ de,pronoun,A1
plenty,足够,zúgòu,pronoun,B1
same,相同的,xiāngtóng de,pronoun,A1
several,一些,yīxiē,pronoun,A2
she,她,tā,pronoun,A1
some,一些,yīxiē,pronoun,A1
somebody,某人,mǒurén,pronoun,A1
someone,某人,mǒurén,pronoun,A1
something,某物,mǒuwù,pronoun,A1
somewhere,某处,mǒuchù,pronoun,A2
such,这样的,zhèyàng de,pronoun,A2
that,那,nà,pronoun,A1
theirs,他们的,tāmen de,pronoun,B1
them,他们,tāmen,pronoun,A1
themselves,他们自己,tāmen zìjǐ,pronoun,A2
they,他们,tāmen,pronoun,A1
this,这,zhè,pronoun,A1
us,我们,wǒmen,pronoun,A1
we,我们,wǒmen,pronoun,A1
what,什么,shénme,pronoun,A1
whatever,任何,rènhé,pronoun,B1
when,什么时候,shénme shíhou,pronoun,A1
which,哪个,nǎge,pronoun,A1
who,WHO,Who,pronoun,A1
whom,谁,shéi,pronoun,B2
whose,谁的,shéi de,pronoun,A2
you,你,nǐ,pronoun,A1
yours,你的,nǐ de,pronoun,A2
yourself,你自己,nǐ zìjǐ,pronoun,A1
