English,Chinese,Pinyin,Word Type,CEFR Level
all right,好的,hǎo de,exclamation,A2
ah,啊,a,exclamation,A2
attention,注意力,zhùyìlì,exclamation,A2
bye,再见,zàijiàn,exclamation,A1
dear,亲爱的,qīnài de,exclamation,A2
goodbye,再见,zàijiàn,exclamation,A1
hello,你好,nǐhǎo,exclamation,A1
hey,嘿,hēi,exclamation,A1
hi,你好,nǐhǎo,exclamation,A1
no,不,bù,exclamation,A1
oh,哦,ó,exclamation,A1
OK,好的,hǎo de,exclamation,A1
please,请,qǐng,exclamation,A1
sorry,对不起,duìbuqǐ,exclamation,A1
thanks,谢谢,xièxie,exclamation,A1
welcome,欢迎,huānyíng,exclamation,A1
well,出色地,chūsè dì,exclamation,A1
wow,哇,wā,exclamation,A2
yeah,是的,shì de,exclamation,A1
yes,是的,shì de,exclamation,A1
