English,Chinese,Pinyin,Word Type,CEFR Level
billion,十亿,shíyì,number,A2
eight,八,bā,number,A1
eighteen,十八,shíbā,number,A1
eighty,八十,bāshí,number,A1
eleven,十一,shíyī,number,A1
fifteen,十五,shíwǔ,number,A1
fifty,五十,wǔshí,number,A1
five,五,wǔ,number,A1
forty,四十,sìshí,number,A1
four,四,sì,number,A1
fourteen,十四,shísì,number,A1
hundred,百,bǎi,number,A1
million,百万,bǎiwàn,number,A1
nine,九,jiǔ,number,A1
nineteen,十九,shíjiǔ,number,A1
ninety,九十,jiǔshí,number,A1
one,一,yī,number,A1
seven,七,qī,number,A1
seventeen,十七,shíqī,number,A1
seventy,七十,qīshí,number,A1
six,六,liù,number,A1
sixteen,十六,shíliù,number,A1
sixty,六十,liùshí,number,A1
ten,十,shí,number,A1
thirteen,十三,shísān,number,A1
thirty,三十,sānshí,number,A1
thousand,千,qiān,number,A1
three,三,sān,number,A1
twelve,十二,shíèr,number,A1
twenty,二十,èrshí,number,A1
two,二,èr,number,A1
zero,零,líng,number,A2
