English,Chinese,Pinyin,Word Type,CEFR Level
after,后,hòu,conjunction,A2
although,虽然,suīrán,conjunction,A2
and,和,hé,conjunction,A1
as,作为,zuòwéi,conjunction,A2
because,因为,yīnwèi,conjunction,A1
before,前,qián,conjunction,A2
but,但,dàn,conjunction,A1
except,除了,chúle,conjunction,B1
if,如果,rúguǒ,conjunction,A1
nor,也不,yě bù,conjunction,B1
now,现在,xiànzài,conjunction,B1
once,一次,yīcì,conjunction,B1
or,或者,huòzhě,conjunction,A1
plus,加,jiā,conjunction,B2
since,自从,zìcóng,conjunction,A2
so,所以,suǒyǐ,conjunction,A1
than,比,bǐ,conjunction,A1
that,那,nà,conjunction,A1
though,尽管,jǐnguǎn,conjunction,B1
till,直到,zhídào,conjunction,B1
unless,除非,chúfēi,conjunction,B1
until,直到,zhídào,conjunction,A1
when,什么时候,shénme shíhou,conjunction,A1
whenever,每当,měidāng,conjunction,B1
where,在哪里,zài nǎlǐ,conjunction,A1
whereas,然而,ránér,conjunction,B2
wherever,无论在哪里,wúlùn zài nǎlǐ,conjunction,B2
whether,无论,wúlùn,conjunction,B1
while,尽管,jǐnguǎn,conjunction,A2
yet,然而,ránér,conjunction,B2
