English,Chinese,Pinyin
A bottle of wine is always welcome.,一瓶葡萄酒总是受欢迎的。,yīpíng pútaojiǔ zǒngshì shòuhuānyíng de 。
A bottle of wine would be a good idea.,一瓶酒是个好主意。,yīpíng jiǔ shì gè hǎo zhǔyi 。
A bottle of wine would be welcome.,一瓶酒将受到欢迎。,yīpíng jiǔ jiàng shòudào huānyíng 。
A breath of fresh air is just what we need.,呼吸新鲜空气正是我们所需要的。,hūxī xīnxiānkōngqì zhèngshì wǒmen suǒ xūyào de 。
"A cake, and an iced coffee for me.",给我一块蛋糕和一杯冰咖啡。,gěi wǒ yīkuài dàngāo hé yībēi bīng kāfēi 。
A cruise has many advantages.,游轮有很多优点。,yóulún yǒu hěnduō yōudiǎn 。
A cruise is a relaxing place for a vacation.,邮轮是一个休闲度假的好去处。,yóulún shì yīgè xiūxián dùjià de hǎoqùchù 。
A famous writer is remembered.,一位著名作家被人们铭记。,yīwèi zhemíngzuòjiā bèi rénmen míngjì 。
A few artists are always invited.,总是邀请一些艺术家。,zǒngshì yāoqǐng yīxiē yìshùjiā 。
A few famous artists were invited.,邀请了一些著名艺术家。,yāoqǐng le yīxiē zhùmíng yìshùjiā 。
A few of the photos are shocking.,有几张照片令人震惊。,yǒu jǐzhāng zhàopiàn lìngrénzhènjīng 。
A girl from Siena ate the wedding cake.,一位来自锡耶纳的女孩吃了婚礼蛋糕。,yīwèi láizì xīyēnà de nǚhái chī le hūnlǐ dàngāo 。
A glass of wine would be welcome.,一杯酒将受到欢迎。,yī bēijiǔ jiàng shòudào huānyíng 。
A glass of wine.,一杯酒。,yī bēijiǔ 。
A half portion of lasagna.,半份烤宽面条。,bànfèn kǎo kuān miàntiáo 。
A healthy environment is important for healthy food.,健康的环境对于健康的食品很重要。,jiànkāng de huánjìng duìyú jiànkāng de shípǐn hěn zhòngyào 。
A position as a teacher of art history.,艺术史教师的职位。,yìshùshǐ jiàoshī de zhíwèi 。
A short time ago.,不久之前。,bùjiǔ zhīqián 。
A single-family house by the beach is a good investment.,海边的独栋别墅是一项不错的投资。,hǎibiān de dúdòng biéshù shì yīxiàng bùcuò de tóuzī 。
A storm would not be welcome.,暴风雨是不受欢迎的。,bàofēngyǔ shì bù shòuhuānyíng de 。
About what?,关于什么？,guānyú shénme ？
"Abroad, I had some dollars.",在国外，我有一些美元。,zài guówài ， wǒ yǒu yīxiē měiyuán 。
"Actually, he prefers to stay at home.",事实上，他更喜欢呆在家里。,shìshíshàng ， tā gēng xǐhuan dāi zài jiālǐ 。
"Actually, I’m right.",事实上，我是对的。,shìshíshàng ， wǒ shì duì de 。
"Actually, in the same single-family house.",事实上，在同一栋独栋别墅里。,shìshíshàng ， zài tóng yīdòng dúdòng biéshù lǐ 。
"Actually, they live in the same neighborhood.",事实上，他们住在同一个小区。,shìshíshàng ， tāmen zhù zài tóngyīge xiǎoqū 。
"Actually, they were on the same ship.",事实上，他们在同一条船上。,shìshíshàng ， tāmen zài tóng yītiáo chuánshàng 。
after all,毕竟,bìjìng
"After all, the water heater doesn’t work.",毕竟热水器不工作。,bìjìng rèshuǐqì bù gōngzuò 。
"After the vacation, you’ll be in great shape.",假期结束后，你会保持良好的状态。,jiàqī jiéshù hòu ， nǐ huì bǎochíliánghǎo de zhuàngtài 。
"Agreed, you’re right.",同意，你是对的。,tóngyì ， nǐ shì duì de 。
all day,一整天,yīzhěngtiān
All my colleagues are leaving for a new project.,我所有的同事都要去新项目了。,wǒ suǒyǒu de tóngshì dū yào qù xīn xiàngmù le 。
"All right, if you really insist.",好吧，如果你真的坚持的话。,hǎo bā ， rúguǒ nǐ zhēnde jiānchí dehuà 。
All right.,好的。,hǎo de 。
Allow me to introduce myself.,请允许我介绍一下自己。,qǐng yǔnxǔ wǒ jièshào yīxià zìjǐ 。
"Alone in the mountains, imagine the peace!",独自一人在山里，想象一下宁静！,dúzìyīrén zài shānlǐ ， xiǎngxiàng yīxià níngjìng ！
Although I don’t have much time.,虽然我时间不多。,suīrán wǒ shíjiān bù duō 。
Although it’s sure that in Italy it’s interesting.,尽管可以肯定的是，在意大利这很有趣。,jǐnguǎn kěyǐ kěndìng de shì ， zài yìdàlì zhè hěn yǒuqù 。
Although we don’t have much time.,虽然我们时间不多。,suīrán wǒmen shíjiān bù duō 。
An actor read Dante’s masterpiece.,一位演员朗读但丁的杰作。,yīwèi yǎnyuán lǎngdú dàndīng de jiézuò 。
